"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.655187000E0,-4.395407555E0,-4.440708858E-1,1.511864265E0,4.669319017E0
2.665139000E0,-3.768311510E0,6.116023850E-1,2.258437637E0,4.435625060E0
2.675090000E0,-3.272778110E0,1.683250249E0,2.624607238E0,4.520284406E0
2.685041000E0,-3.178815401E0,2.384953550E0,2.825756719E0,4.876245668E0
2.694992000E0,-3.399039961E0,2.495202801E0,2.621143055E0,4.964866623E0
2.704944000E0,-3.853884634E0,2.121543501E0,2.272806877E0,4.951668880E0
2.714895000E0,-4.151173742E0,1.667501358E0,2.078780766E0,4.932963987E0
2.724846000E0,-4.111080554E0,1.290620243E0,1.852601548E0,4.690289589E0
2.734798000E0,-3.909393714E0,9.699612755E-1,1.458569233E0,4.283877717E0
2.744749000E0,-3.783811894E0,2.824865896E-1,7.137333620E-1,3.860886742E0
2.754700000E0,-3.288988346E0,4.996972024E-2,4.304230459E-1,3.317409427E0
2.764651000E0,-2.791216339E0,-1.746154010E-1,6.287559231E-1,2.866480978E0
2.774603000E0,-2.450059080E0,-5.996231943E-1,5.869389756E-1,2.589755747E0
2.784554000E0,-2.179281247E0,-8.789341611E-1,1.088744392E0,2.589817825E0
2.794505000E0,-1.968643489E0,-1.199709488E0,1.443903393E0,2.720242095E0
2.804457000E0,-1.856094528E0,-1.567513386E0,1.761455297E0,3.000818201E0
2.814408000E0,-1.715992318E0,-1.682172607E0,2.664582897E0,3.588082542E0
2.824359000E0,-1.056531057E0,-1.831797009E0,3.071612256E0,3.729147357E0
2.834310000E0,-1.473053956E-1,-2.334030733E0,4.269076706E0,4.867690856E0
2.844262000E0,4.260281324E-3,-1.983243402E0,5.277110372E0,5.637478729E0
2.854213000E0,1.186160320E-1,-2.110014546E0,5.402417958E0,5.801064638E0
2.864164000E0,3.234738171E-1,-2.118706432E0,4.816792705E0,5.272100551E0
2.874116000E0,2.827719337E-1,-2.227279871E0,4.634182406E0,5.149406001E0
2.884067000E0,-4.872718692E-2,-2.429281876E0,4.442266556E0,5.063350366E0
2.894018000E0,-2.220772505E-3,-2.705303199E0,4.251740004E0,5.039440782E0
2.903969000E0,4.652074009E-1,-2.483072752E0,4.058668744E0,4.780675704E0
2.913921000E0,9.323467219E-1,-2.428606523E0,3.479306444E0,4.344303556E0
2.923872000E0,1.369044269E0,-2.422838829E0,2.694560987E0,3.873640292E0
2.933823000E0,1.813363076E0,-2.178162090E0,1.941802431E0,3.435589093E0
2.943775000E0,2.444358922E0,-1.759720720E0,1.575454490E0,3.399053456E0
2.953726000E0,2.996789823E0,-1.257318596E0,1.192664470E0,3.461798353E0
2.963677000E0,3.406746299E0,-1.183736649E0,1.228777751E0,3.810124350E0
2.973628000E0,3.525610837E0,-8.237025315E-1,2.752541685E-1,3.631002960E0
2.983580000E0,3.991829807E0,-5.187386602E-1,-1.020146173E0,4.152648940E0
2.993531000E0,4.407607185E0,-6.084326094E-1,-1.072376427E0,4.576809210E0
3.003482000E0,3.895976400E0,-6.256661081E-1,-5.092267022E-1,3.978618105E0
3.013434000E0,3.524543720E0,-9.693461484E-1,-7.518145233E-2,3.656185532E0
3.023385000E0,3.105442784E0,-1.029352614E0,5.948489428E-2,3.272136939E0
3.033336000E0,2.588174114E0,-9.577563822E-1,4.737180233E-2,2.760106270E0
3.043287000E0,1.988887135E0,-9.731170177E-1,1.302191006E-1,2.218013927E0
3.053239000E0,1.358159092E0,-1.053201653E0,-1.466800359E-1,1.724918802E0
3.063190000E0,1.218018875E0,-1.331248451E0,-6.700491062E-1,1.924774850E0
